Temps (ms) ; Angle (rad) ; Vitesse angulaire (rad/s) 
8.579166667 ; -0.002008 ; 0.038179 
 17.15833333 ; -0.002008 ; 0.0 
 25.7375 ; -0.002008 ; 0.0 
 34.31666667 ; -0.001991 ; 0.0 
 42.89583333 ; -0.003915 ; -0.839932 
 51.475 ; -0.006986 ; 0.0 
 60.05416667 ; -0.006986 ; 0.0 
 68.63333333 ; -0.006986 ; 0.0 
 77.2125 ; -0.006986 ; 0.0 
 85.79166667 ; -0.006986 ; 0.0 
 94.37083333 ; -0.006986 ; 0.0 
 102.95 ; -0.006986 ; 0.0 
 111.5291667 ; -0.006986 ; 0.0 
 120.1083333 ; -0.006986 ; 0.0 
 128.6875 ; -0.006986 ; 0.0 
 137.2666667 ; -0.006986 ; 0.0 
 145.8458333 ; 0.011357 ; 3.93241 
 154.425 ; 0.053089 ; 6.146776 
 163.0041667 ; 0.105216 ; 6.108597 
 171.5833333 ; 0.148618 ; 5.11595 
 180.1625 ; 0.196746 ; 6.452206 
 188.7416667 ; 0.257327 ; 8.704751 
 197.3208333 ; 0.340588 ; 11.339084 
 205.9 ; 0.442429 ; 12.637161 
 214.4791667 ; 0.553753 ; 13.095306 
 223.0583333 ; 0.666917 ; 13.782523 
 231.6375 ; 0.783844 ; 14.507919 
 240.2166667 ; 0.909714 ; 15.615102 
 248.7958333 ; 1.045879 ; 16.836822 
 257.375 ; 1.192978 ; 17.79129 
 265.9541667 ; 1.349477 ; 19.165724 
 274.5333333 ; 1.511646 ; 19.394797 
 283.1125 ; 1.676464 ; 19.89112 
 291.6916667 ; 1.846749 ; 20.616516 
 300.2708333 ; 2.026266 ; 21.7237 
 308.85 ; 2.212701 ; 22.372738 
 317.4291667 ; 2.405886 ; 23.289028 
 326.0083333 ; 2.604504 ; 23.785351 
 334.5875 ; 2.806447 ; 24.319854 
 343.1666667 ; 3.014617 ; 25.579752 
 351.7458333 ; 3.228727 ; 26.076075 
 360.325 ; 3.448997 ; 26.763292 
 368.9041667 ; 3.676691 ; 27.297795 
 377.4833333 ; 3.909077 ; 28.214084 
 386.0625 ; 4.146744 ; 28.519514 
 394.6416667 ; 4.387837 ; 28.710408 
 403.2208333 ; 4.634854 ; 29.626698 
 411.8 ; 4.887861 ; 30.275736 
 420.3791667 ; 5.147094 ; 31.077489 
 428.9583333 ; 5.411239 ; 31.573813 
 437.5375 ; 5.678961 ; 32.26103 
 446.1166667 ; 5.950631 ; 32.56646 
 454.6958333 ; 6.225964 ; 32.604639 
 463.275 ; 6.504722 ; 32.986426 
 471.8541667 ; 6.787429 ; 34.017252 
 480.4333333 ; 7.074557 ; 34.437218 
 489.0125 ; 7.365684 ; 35.048078 
 497.5916667 ; 7.659107 ; 34.933542 
 506.1708333 ; 7.955989 ; 35.353508 
 514.75 ; 8.256144 ; 35.964367 
 523.3291667 ; 8.561379 ; 36.422512 
 531.9083333 ; 8.869854 ; 36.918836 
 540.4875 ; 9.183746 ; 37.529695 
 549.0666667 ; 9.501317 ; 38.216913 
 557.6458333 ; 9.821419 ; 38.064198 
 566.225 ; 10.144997 ; 38.675057 
 574.8041667 ; 10.470465 ; 39.056845 
 583.3833333 ; 10.799713 ; 39.171381 
 591.9625 ; 11.130632 ; 39.782241 
 600.5416667 ; 11.464234 ; 40.049492 
 609.1208333 ; 11.801632 ; 40.622173 
 617.7 ; 12.139757 ; 40.622173 
 626.2791667 ; 12.481425 ; 40.354922 
 634.8583333 ; 12.825962 ; 41.194854 
 643.4375 ; 13.172625 ; 41.30939 
 652.0166667 ; 13.523676 ; 42.111144 
 660.5958333 ; 13.877966 ; 42.53111 
 669.175 ; 14.234231 ; 42.340216 
 677.7541667 ; 14.592251 ; 42.874718 
 686.3333333 ; 14.951959 ; 43.218327 
 694.9125 ; 15.312037 ; 42.836539 
 703.4916667 ; 15.673854 ; 42.836539 
 712.0708333 ; 16.038742 ; 43.600114 
 720.65 ; 16.404694 ; 43.71465 
 729.2291667 ; 16.772636 ; 43.867365 
 737.8083333 ; 17.142486 ; 44.096438 
 746.3875 ; 17.513482 ; 44.32551 
 754.9666667 ; 17.887601 ; 44.440046 
 763.5458333 ; 18.265297 ; 45.203621 
 772.125 ; 18.643871 ; 45.012727 
 780.7041667 ; 19.024014 ; 44.974549 
 789.2833333 ; 19.405035 ; 45.127264 
 797.8625 ; 19.785296 ; 45.279978 
 806.4416667 ; 20.166553 ; 45.2418 
 815.0208333 ; 20.549767 ; 45.738123 
 823.6 ; 20.934332 ; 46.081732 
 832.1791667 ; 21.32082 ; 46.387162 
 840.7583333 ; 21.708236 ; 46.119911 
 849.3375 ; 22.097357 ; 46.42534 
 857.9166667 ; 22.488637 ; 46.692592 
 866.4958333 ; 22.881724 ; 46.845307 
 875.075 ; 23.277054 ; 46.921664 
 883.6541667 ; 23.673802 ; 47.494345 
 892.2333333 ; 24.069437 ; 47.265273 
 900.8125 ; 24.464835 ; 46.73077 
 909.3916667 ; 24.861212 ; 46.998021 
 917.9708333 ; 25.25877 ; 47.379809 
 926.55 ; 25.65891 ; 48.067026 
 935.1291667 ; 26.060856 ; 48.143383 
 943.7083333 ; 26.463966 ; 47.914311 
 952.2875 ; 26.868831 ; 48.372456 
 960.8666667 ; 27.274877 ; 48.639707 
 969.4458333 ; 27.68337 ; 48.792422 
 978.025 ; 28.094597 ; 48.945137 
 986.6041667 ; 28.506077 ; 48.906958 
 995.1833333 ; 28.918367 ; 49.212388 
 1003.7625 ; 29.330167 ; 48.983316 
 1012.341667 ; 29.742947 ; 49.250567 
 1020.920833 ; 30.158207 ; 49.708712 
 1029.5 ; 30.574901 ; 49.899605 
 1038.079167 ; 30.99465 ; 49.823248 
 1046.658333 ; 31.416542 ; 50.510465 
 1055.2375 ; 31.839294 ; 50.128678 
 1063.816667 ; 32.264477 ; 50.625001 
 1072.395833 ; 32.690587 ; 50.854074 
 1080.975 ; 33.118622 ; 51.044967 
 1089.554167 ; 33.547264 ; 50.930431 
 1098.133333 ; 33.976884 ; 51.350397 
 1106.7125 ; 34.409087 ; 51.617648 
 1115.291667 ; 34.843112 ; 52.152151 
 1123.870833 ; 35.280157 ; 51.961257 
 1132.45 ; 35.719734 ; 52.266687 
 1141.029167 ; 36.160864 ; 52.915725 
 1149.608333 ; 36.604119 ; 52.648474 
 1158.1875 ; 37.048927 ; 53.144798 
 1166.766667 ; 37.495609 ; 53.259334 
 1175.345833 ; 37.942273 ; 52.992083 
 1183.925 ; 38.388769 ; 53.182976 
 1192.504167 ; 38.836311 ; 53.335691 
 1201.083333 ; 39.284477 ; 53.564764 
 1209.6625 ; 39.734837 ; 53.755657 
 1218.241667 ; 40.186209 ; 53.717479 
 1226.820833 ; 40.638341 ; 54.061087 
 1235.4 ; 41.091232 ; 53.832015 
 1243.979167 ; 41.543837 ; 53.793836 
 1252.558333 ; 41.998348 ; 54.137445 
 1261.1375 ; 42.452117 ; 53.946551 
 1269.716667 ; 42.906966 ; 54.137445 
 1278.295833 ; 43.363181 ; 54.519232 
 1286.875 ; 43.821236 ; 55.015556 
 1295.454167 ; 44.282109 ; 54.824662 
 1304.033333 ; 44.744957 ; 55.320985 
 1312.6125 ; 45.210994 ; 55.435522 
 1321.191667 ; 45.677368 ; 55.511879 
 1329.770833 ; 46.145261 ; 55.77913 
 1338.35 ; 46.612581 ; 55.511879 
 1346.929167 ; 47.079444 ; 55.550058 
 1355.508333 ; 47.546359 ; 55.626415 
 1364.0875 ; 48.013138 ; 55.588237 
 1372.666667 ; 48.481993 ; 55.740952 
 1381.245833 ; 48.952468 ; 56.08456 
 1389.825 ; 49.426065 ; 56.313633 
 1398.404167 ; 49.901096 ; 56.428169 
 1406.983333 ; 50.377022 ; 56.886314 
 1415.5625 ; 50.854348 ; 56.962671 
 1424.141667 ; 51.332923 ; 57.268101 
 1432.720833 ; 51.81435 ; 57.649888 
 1441.3 ; 52.297431 ; 57.726246 
 1449.879167 ; 52.783954 ; 57.955318 
 1458.458333 ; 53.271658 ; 58.146212 
 1467.0375 ; 53.76105 ; 58.451642 
 1475.616667 ; 54.251117 ; 58.527999 
 1484.195833 ; 54.742669 ; 58.680714 
 1492.775 ; 55.235486 ; 58.48982 
 1501.354167 ; 55.728557 ; 58.642535 
 1509.933333 ; 56.221442 ; 58.260748 
 1518.5125 ; 56.713078 ; 58.527999 
 1527.091667 ; 57.205372 ; 58.527999 
 1535.670833 ; 57.697701 ; 58.718893 
 1544.25 ; 58.192999 ; 59.10068 
 1552.829167 ; 58.689917 ; 59.367931 
 1561.408333 ; 59.189636 ; 59.902434 
 1569.9875 ; 59.689912 ; 59.749719 
 1578.566667 ; 60.190813 ; 59.826076 
 1587.145833 ; 60.691528 ; 59.482467 
 1595.725 ; 61.193661 ; 59.558825 
 1604.304167 ; 61.698274 ; 59.978791 
 1612.883333 ; 62.205047 ; 60.475115 
 1621.4625 ; 62.714284 ; 60.398757 
 1630.041667 ; 63.224887 ; 61.085974 
 1638.620833 ; 63.737786 ; 60.971438 
 1647.2 ; 64.249976 ; 60.895081 
 1655.779167 ; 64.763179 ; 61.238689 
 1664.358333 ; 65.275504 ; 61.085974 
 1672.9375 ; 65.789061 ; 61.391404 
 1681.516667 ; 66.302837 ; 61.315047 
 1690.095833 ; 66.818554 ; 61.582298 
 1698.675 ; 67.335469 ; 61.620477 
 1707.254167 ; 67.854577 ; 62.269515 
 1715.833333 ; 68.373619 ; 61.620477 
 1724.4125 ; 68.894111 ; 61.81137 
 1732.991667 ; 69.414401 ; 61.658655 
 1741.570833 ; 69.934944 ; 61.696834 
 1750.15 ; 70.455302 ; 62.345873 
 1758.729167 ; 70.977954 ; 62.72766 
 1767.308333 ; 71.501805 ; 62.536766 
 1775.8875 ; 72.026516 ; 62.613124 
 1784.466667 ; 72.551278 ; 62.460409 
 1793.045833 ; 73.075517 ; 62.651302 
 1801.625 ; 73.599384 ; 62.1168 
 1810.204167 ; 74.122374 ; 62.193158 
 1818.783333 ; 74.645449 ; 62.42223 
 1827.3625 ; 75.168405 ; 62.651302 
 1835.941667 ; 75.69207 ; 62.384051 
 1844.520833 ; 76.21506 ; 62.613124 
 1853.1 ; 76.739299 ; 62.040443 
 1861.679167 ; 77.263824 ; 62.42223 
 1870.258333 ; 77.788738 ; 62.1168 
 1878.8375 ; 78.311441 ; 62.002264 
 1887.416667 ; 78.834499 ; 62.040443 
 1895.995833 ; 79.357016 ; 61.964085 
 1904.575 ; 79.881559 ; 62.72766 
 1913.154167 ; 80.406337 ; 62.880375 
 1921.733333 ; 80.933597 ; 62.956732 
 1930.3125 ; 81.459877 ; 62.536766 
 1938.891667 ; 81.986597 ; 62.72766 
 1947.470833 ; 82.511595 ; 62.345873 
 1956.05 ; 83.03661 ; 62.345873 
 1964.629167 ; 83.560123 ; 62.613124 
 1973.208333 ; 84.084345 ; 62.269515 
 1981.7875 ; 84.607959 ; 62.078621 
 1990.366667 ; 85.132687 ; 62.72766 
 1998.945833 ; 85.657719 ; 62.269515 
 2007.525 ; 86.183865 ; 62.613124 
 2016.104167 ; 86.709369 ; 62.842196 
 2024.683333 ; 87.233794 ; 62.345873 
 2033.2625 ; 87.755569 ; 62.154979
